abs,"Malay (Ambonese), Ambonese, Ambong, Malayu Ambon, Moluccan (Maluku) Malay"
jav,"Javanese, Djawa, Jawa"
kat,"Georgian, Common Kartvelian, Gruzinski, Kartuli"
apc,"Arabic (North Levantine Spoken), Lebanese-Syrian Arabic, Levantine Arabic, North Levantine Arabic, Syro-Lebanese Arabic"
jbn,"Nafusi, Djerbi, Jabal Nafusi, Jbel Nafusi, Jebel Nefusi, Nefusi"
swa,Swahili
luo,"Dholuo, Kavirondo Luo, Luo, Nilotic Kavirondo"
bul,"Bulgarian, Balgarski"
bar,"Bavarian, Bairisch, Bavarian Austrian, Bayerisch, Ost-Oberdeutsch"
khm,"Khmer (Central), Cambodian, Khmer"
mlg,Malagasy
azj,"Azerbaijani (North), Azerbaijan, Azerbaydzhani, Azeri Turk"
ces,"Czech, Bohemian, Cestina"
sqi,Albanian
rus,"Russian, Russki"
fin,"Finnish, Suomi"
swe,"Swedish, Ruotsi, Svenska"
slv,"Slovene, Slovenian, Slovenscina"
gug,"Guaraní (Paraguayan), Avañe’e"
aln,"Albanian (Gheg), Geg, Shqip, Shqyp"
aym,Aymara
kal,"Inuktitut (Greenlandic), Greenlandic, Kalaallisut"
ltz,"Luxembourgish, Frankish, Letzburgisch, Lëtzebuergesch, Luxembourgeois, Luxemburgian, Luxemburgish, Moselle Franconian"
che,"Chechen, Galancho, Nokchiin Muott, Nokhchiin"
arg,"Aragonese, Altoaragonés, Aragoieraz, Aragonés, Fabla Aragonesa, High Aragonese, Patués"
cim,"Cimbrian, Tzimbro, Zimbrisch"
toc,"Totonac (Coyutla), Totonaco de Coyutla"
tsd,"Tsakonian, Tsakonia"
kan,"Kannada, Banglori, Canarese, Kanarese, Madrassi"
prs,"Dari, Afghan Persian, East Farsi, Farsi, Parsi, Persian, Tajik, Tajiki"
glg,"Galician, Galego, Gallego"
mek,"Mekeo, Mekeo-Kovio"
frc,"French (Cajun), Acadian, Cadien, Cajan, Cajun"
quc,"K’iche’, Central K’iche’, Central Quiché, Chiquel, Qach’abel, Quiché"
zul,"Zulu, Isizulu, Zunda"
afr,Afrikaans
est,Estonian
ajp,"Arabic (South Levantine Spoken), Arabic, Levantine Arabic, Palestinian-Jordanian, South Levantine Arabic"
bis,"Bislama, Bichelamar"
lgk,"Neverver, Bushman’s Bay, Lingarak, Nevwervwer"
eng,English
cat,"Catalan, Català, Catalán, Catalan-Valencian-Balear, Catalonian, Valencian"
lkt,"Lakota, Lakhota, Lakotiyapi, Teton"
bbc,"Batak Toba, Batta, Toba Batak"
eus,"Basque, Euskara, Euskera, Vascuense"
nhn,"Nahuatl (Central), Central Aztec, Náhuatl del Centro, Tlaxcala-Puebla Nahuatl"
yue,"Chinese (Yue), Cantonese, Gwong Dung Waa, Yue, Yueh, Yuet Yue, Yueyu"
ava,"Avar, Avaro, Bolmac, Khundzuri, Maarul Dagestani"
ell,"Greek, Ellinika, Graecae, Grec, Greco, Neo-Hellenic, Romaic"
bjn,"Banjar, Bandjarese, Banjar Malay, Banjarese, Labuhan"
chr,"Cherokee, Tsalagi, Tslagi"
kiu,"Zazaki (Northern), Alevica, Dersimki, Dimilki, Kirmanjki, Northern Zaza, So-Bê, Zaza, Zonê Ma"
vec,"Venetian, Talian, Venet"
fur,"Friulian, Frioulan, Frioulian, Friulano, Furlan, Priulian"
rup,"Aromanian, Armina, Arumanian, Macedo Romanian, Macedo-Rumanian, Vlach"
gsw,"German (Swiss), Alemanic, Alemannisch, Schwyzerdütsch"
lit,"Lithuanian, Lietuvi, Lietuviskai, Litauische, Litewski, Litovskiy"
als,"Albanian (Tosk), Arnaut, Shkip, Shqip, Shqiperë, Skchip, Tosk, Zhgabe"
ysl,"Yugoslavian Sign Language, Slovenian Sign Language"
srp,"Serbian, Montenegrin"
mkd,"Macedonian, Macedonian Slavic, Makedonski, Slavic"
hin,"Hindi, Khadi Boli, Khari Boli"
mar,"Marathi, Maharashtra, Maharathi, Malhatee, Marthi, Muruthu"
rwr,"Marwari, Marvadi, Marvari, Marwadi, Rajasthani"
rmn,Romani (Balkan)
min,"Minangkabau, Minang, Padang"
rgn,Romagnol
gum,"Guambiano, Guambia, Moguex"
roh,"Romansch, Rhaeto-Romance, Rheto-Romance, Romanche, Romansh, Rumantsch"
tha,"Thai, Central Tai, Siamese, Standard Thai, Thaiklang"
pdc,"German (Pennsylvania), Pennsylvania Deitsh, Pennsylvania Dutch, Pennsylvanish"
kin,"Rwanda, Ikinyarwanda, Kinyarwanda, Orunyarwanda, Ruanda, Rwandan, Urunyaruanda"
sco,Scots
wuu,"Chinese (Wu), Jiangnan hua, Jiangsu-Zhujiang hua, Jiangzhe hua, Wu, Wuyue"
por,"Portuguese, Português"
gul,"Sea Island Creole English, Geechee, Gullah"
aed,"Argentine Sign Language, Lengua de Señas Argentina, LSA"
afs,"Afro-Seminole Creole, Afro-Seminol Criollo, Afro-Seminole"
bos,Bosnian
nld,"Dutch, Hollands, Nederlands"
spa,"Spanish, Castellano, Castilian, Español"
knn,"Konkani, Bankoti, Central Konkan, Concorinum, Cugani, Kathodi, Katvadi, Konkan Standard, Konkanese, Konkani Mangalorean, Kunabi, North Konkan"
ind,"Indonesian, Bahasa Indonesia"
mwl,"Mirandese, Mirandês"
swg,"Swabian, Schwäbisch, Schwaebisch, Suabian"
lvs,"Latvian (Standard), “Lettisch” (pej.), “Lettish” (pej.)"
lld,"Ladin, Dolomite, Rhaeto-Romance"
tso,"Tsonga, Shangaan, Shangana, Shitsonga, Thonga, Tonga, Xitsonga"
fuq,"Fulfulde (Central-Eastern Niger), Fula, Fulani, Fulbe, Peul, Peulh"
hau,"Hausa, Abakwariga, Habe, Haoussa, Hausawa, Kado, Mgbakpa"
kau,Kanuri
dan,"Danish, Dansk, Rigsdansk"
chw,"Chuwabu, Chichwabo, Chuabo, Chuwabo, Chwabo, Cicuabo, Cuabo, Cuwabo, Echuabo, Echuwabo, Txuwabo"
seh,"Sena, Chisena, Cisena"
pnt,"Pontic, Pontic Greek"
tel,"Telugu, Andhra, Gentoo, Tailangi, Telangire, Telegu, Telgi, Tengu, Terangi, Tolangan"
jdt,"Judeo-Tat, Bik, Dzhuhuric, Hebrew Tat, Jewish Tat, Judeo-Tatic, Juhuri, Lahji, Mountain Jewish, Musulman Tats, Tati"
tkr,"Tsakhur, Caxur, Sakhur, Tsakhury, Tsaxur, Yikbi"
ttt,"Tat (Muslim), Muslim Tat, Mussulman Tati, Tati"
udi,"Udi, Udin, Uti"
sva,"Svan, Svanuri"
mqy,Manggarai
aek,"Haeke, Aeke, ’Aeke, Baco, Haeake"
aji,"Ajië, A’jie, Anjie, Houailou, Wai, Wailu"
ane,"Xârâcùù, Anesu, Canala, Haraneu, Kanala, Naa Xârâcùù, Xaracii"
aok,"Arhö, Aro"
aqr,"Arhâ, Ara"
aut,"Austral, Tubuai-Rurutu"
axx,"Xârâgurè, Aragure, ’Aragure, Borendy, Borindi, Haragure, Naa Xaragure, Thio, Xaragure"
bpk,"Orowe, Abwebwe, Boewe, Boewi, ’Oroe"
bwa,Bwatoo
cal,"Carolinian, “Gupallao” (pej.), Saipan Carolinian, Southern Carolinian"
cam,"Cemuhî, Camuhi, Camuki, Tie, Tyamuhi, Wagap"
cha,"Chamorro, Chamorru, Tjamoro"
cir,"Tîrî, Ciiri, Ciri, Grand Couli, Hamea, Ha-Tiri, Méa, Tinrin, Tîrî-Méa"
cks,"Tayo, Patois, Patois de St-Louis"
dcr,"Negerhollands, Dutch Creole"
duf,"Drubea, Diubea, Dubea, Dumbea, Naa Drubea, Naa Dubea, Ndumbea, Nraa Drubea"
fud,"Futuna (East), East Futunan, Futunian"
fwa,"Fwâi, Poai, Yehen, Yengen"
glv,"Manx, Gaelg, Gailck, Manx Gaelic"
hks,"Hong Kong Sign Language, Heung Kong Sau Yue, HKSL"
hvk,"Haveke, Aveke, ’Aveke"
iai,"Iaai, Hwen Iaai, Iai, Yai"
jas,Javanese (New Caledonian)
jaz,"Jawe, Diahoue, Njawe, Oubatch, Ubach"
kdk,"Numèè, Dialectes de l’Extreme Sud, Duauru, Kapone, Kunie, Kwenyii, Naa Numee, Naa-Wee, Ouen, Touaouru, Truaru, Tuauru, Uen, Wen, Xere"
mkt,"Vamale, Hmwaeke, ’Moaeke, Pamale"
mqm,Marquesan (South)
mrk,"Hmwaveke, Ceta, Faa Ceta, ’Moaveke"
mrq,"Marquesan (North), ’Eo ’Enana"
mrv,"Mangareva, Mangarevan"
msq,"Caac, Caaac, Caawac, Moenebeng, Mwelebeng"
mzs,"Macanese, Macaense, Macao Creole Portuguese, Makista, Patuá"
nee,"Nêlêmwa-Nixumwak, Fwa-Goumak, Koumac, Kumak"
nek,Neku
nem,Nemi
nen,"Nengone, Iwatenu, Mare, Pene Nengone"
niu,"Niue, Niuean, “Niuefekai” (pej.)"
nua,"Yuanga, Bonde, Gomen, Juanga, Nua, Nyua, Nyuaanga, Thuanga, Yuaanga, Yuaga, Zwanga"
pap,"Papiamentu, Curaçoleño, Curassese, Papiamen, Papiamento, Papiamentoe"
pih,"Pitcairn-Norfolk, Norfolkese, Pitcairn English"
piz,"Pije, Pindje, Pinje"
pkp,"Pukapuka, Bukabukan, Pukapukan"
pme,"Pwaamei, Poamei, Pwamei"
pmt,"Tuamotuan, Pa’umotu"
pnh,"Penrhyn, Mangarongaro, Penrhynese, Tongareva"
pop,"Pwapwâ, Poapoa, Pwapwa"
pri,"Paicî, Ci, Paaci, Pati, Ponerihouen"
psl,"Puerto Rican Sign Language, PRSL"
rar,"Rarotongan, Cook Island, Cook Islands Maori, Kuki Airani, Maori, Rarotongan-Mangaian"
ray,"Rapa, Rapan"
rkh,"Rakahanga-Manihiki, Manihiki-Rakahanga"
sih,"Sîshëë, Nerë, Siche, Sirhe, Yirhe, Yirhee, Ziche, Zira, Zire"
tah,Tahitian
tch,Turks and Caicos Creole English
tkl,"Tokelauan, Tokelau"
tnq,Taino
tpv,"Tanapag, Northern Carolinian, Talaabwogh"
uve,"Fagauvea, Faga Uvea, Faga-Uvea, West Uvean"
vic,Virgin Islands Creole English
wls,"Wallisian, East Uvean, Uvean, Wallisien"
wmn,"Waamwang, Wamoang"
yly,"Nyelâyu, Nielaiou, Nielaiu, Nyâlayu, Puma, Yalasu"
aee,"Pashayi (Northeast), Pashai"
afg,"Afghan Sign Language, Afghan Sign, AFSL"
aiq,"Aimaq, Barbari, Berberi, Chahar-Aimaq, Char Aimaq"
ask,"Ashkun, Ashkund, Ashkuni, Wamais, Wamayi"
bsh,"Kati, Bashgali, Kativiri, Nuristani"
glh,"Pashayi (Northwest), Pashai"
gwt,"Gawar-Bati, Arandui, Gowari, Narisati, Narsati, Satre"
haz,"Hazaragi, Azargi, Hazara, Hezareh"
isk,"Ishkashimi, Eshkashimi, Ishkashim, Ishkashmi"
mhj,"Mogholi, Moghol, Mogol, Mogul, Mongul"
mnj,"Munji, Munjani, Munjigi, Munjiwar"
nli,"Grangali, Gelangali, Jumiaki"
pbt,"Pashto (Southern), Kandahar Pashto, Qandahar Pashto, Southwestern Pashto"
phv,Pahlavani
prc,Parachi
prn,"Prasuni, Parun, Paruni, Prasun, Veron, Verou, Veruni, Wasi-Veri"
psh,"Pashayi (Southwest), Pashai"
psi,"Pashayi (Southeast), Pashai"
sdg,"Savi, Sau, Sauji, Sawi"
sgy,"Sanglechi, Dargi"
sts,"Shumashti, Shumasht"
tra,Tirahi
trm,"Tregami, Katar Gambir, Trigami"
uzs,"Uzbek (Southern), Usbeki, Uzbak, Uzbeki"
wbk,"Waigali, Suki, Wai, Wai-Ala, Waigala, Waigalii, Waigeli, Zhonjigali"
wbl,"Wakhi, Khik, Khikwar, Vakhan, Wakhani, Wakhigi"
wrd,Warduji
wsv,Wotapuri-Katarqalai
xvi,"Kamviri, Kamdeshi, Kamik, Lamertiviri, Shekhani"
sqk,"Albanian Sign Language, AlbSL"
aao,"Arabic (Algerian Saharan Spoken), Saharan Arabic, Tamanghasset Arabic, Tamanrasset Arabic"
arq,"Arabic (Algerian Spoken), Algerian"
asp,Algerian Sign Language
cnu,"Chenoua, Chenoui"
grr,"Taznatit, Zenatiyya"
kab,"Kabyle, Amazigh, Tamazight, Taqbaylit"
kcy,"Korandje, Kwarandzyey"
mzb,"Tumzabt, Ghardaia, Mozabite, Mzab, Mzabi"
oua,"Tagargrent, Ouargla, Ouargli, Wargla"
shy,"Tachawit, Chaouia, Chawi, Shawia, Shawiya, Tacawit"
thv,"Tamahaq (Tahaggart), Tamachek, Tamashekin, Tomachek, Touareg, Tourage, Tuareg"
tia,Tamazight (Tidikelt)
tjo,"Tamazight (Temacine), Touggourt, Tougourt, Tugurt"
blv,"Bolo, Haka, Libolo, Lubolo"
cjk,"Cokwe, Chokwe, Ciokwe, Djok, Kioko, Quioco, Shioko, Tschiokloe, Tshokwe"
dhm,"Dhimba, Chimba, Dimba, Oluthimba, Otjidhimba, Simba, Tjimba, Zemba"
hol,"Holu, Holo, Hongu, Kiholo, Kiholu"
khu,"Nkumbi, Khumbi, Ngumbi, Nkhumbi, Ocinkumbi, Otjingumbi"
kmb,"Kimbundu, Dongo, Kimbundo, Kindongo, Loanda Mbundu, Loande, Luanda, Lunda, Mbundu, N’bundo, Nbundu, Ndongo, North Mbundu"
kua,"Oshiwambo, Cuanhama, Humba, Kuanjama, Kwancama, Kwanjama, Kwanyama, Ochikwanyama, Oshikuanjama, Oshikwanyama, Oshiwambo Ndonga, Ovambo, Oxikuanyama, Wambo"
kwz,"Kwadi, Bakoroka, Cuanhoca, Cuepe, Curoca, Koroka, Makoroko, Mucoroca"
lch,"Lucazi, Chiluchazi, Luchazi, Lujash, Lujazi, Lutchaz, Lutshase, Luxage, Ponda"
lum,"Luimbi, Chiluimbi, Luimbe, Lwimbe, Lwimbi"
mck,"Mbunda, Chimbunda, Mbuunda"
mfu,"Mbwela, Ambuela, Ambuella, Mbuela, Mbwera, Shimbwera"
mwj,Maligo
mxg,"Mbangala, Bangala, Cimbangala"
nba,"Nyemba, Gangela, Ganguela, Ganguella, Ngangela, Nhemba"
ndq,"Ndombe, Dombe"
nkn,"Nkangala, Cangala, Ngangala"
nne,"Ngandyera, Ngandjera"
nsx,"Songo, Nsongo, Sungu"
nye,"Nyengo, Nhengo"
nyk,"Nyaneka, Lunyaneka, Nhaneca, Nhaneka, Olunyaneka"
oun,"!O!ung, !O!kung, Vasekele, Xun"
smd,"Sama, Kissama, Quissama"
umb,"Umbundu, Kimbari, Mbali, Mbari, M’bundo, Mbundu, Mbundu Benguella, Nano, Olumbali, Ovimbundu, South Mbundu, Umbundo"
yax,Yauma
aig,"Antigua and Barbuda Creole English, Leeward Caribbean Creole"
axb,"Abipon, Abipones"
crq,Chorote (Iyo’wujwa)
crt,"Chorote (Iyojwa’ja), Choroti, Eklenjuy, Yofuaha"
moc,"Mocoví, Mbocobí, Mocobí"
mzh,"Wichí Lhamtés Güisnay, Güisnay, “Mataco” (pej.), “Mataco Güisnay” (pej.), “Mataco Pilcomayo” (pej.)"
ona,"Ona, Aona, Choon, Selknam, Shelknam"
plg,"Pilagá, Pilaca"
pue,"Puelche, Gennaken, Northern Tehuelche, Pampa"
qus,"Quichua (Santiago del Estero), Santiagueño Quichua"
teh,"Tehuelche, Aoniken, Gunua-Kena, Gününa Küne, Gününa Yajich, Gununa-Kena, Inaquen"
tob,"Toba, Chaco Sur, Namqom, Qom, Toba Qom, Toba Sur"
vil,Vilela
wlv,"Wichí Lhamtés Vejoz, “Mataco Vejoz” (pej.), Vejos, Vejoz"
aen,Armenian Sign Language
rmi,"Lomavren, Armenian Bosa, Armenian Bosha, Bosa, Bosha"
adg,"Andegerebinha, Andigibinha, Antekerrepinhe"
adt,"Adnyamathanha, Ad’n’amadana, Adynyamathanha, Anjimatana, Anjiwatana, Archualda, Benbakanjamata, Binbarnja, Gadjnjamada, Jandali, Kanjimata, Keydnjmarda, Mardala, Nimalda, Nuralda, Umbertana, Unyamootha, Wailbi, Wailpi, Waljbi, Wipie"
aea,Areba
aer,"Arrernte (Eastern), Arunta, Eastern Aranda, Upper Aranda"
aid,Alngith
ajn,"Andajin, Andidja, Andidjara"
alh,"Alawa, Kallana, Leealowa"
aly,"Alyawarr, Aljawara, Alyawarra, Alyawarre, Iliaura, Yowera"
amg,"Amurdak, Amarag, Amarak, Amardak, A’moordiyu, Amurag, Amurdag, Amurrag, Amurrak, Amurtak, Amuruk, Mamurug, Monobar, Namurug, Nga:mr:rak, Nga:mu:rak, Ngamurag, Umoreo, Umoriu, Umorrdak, Wardadjbak, Woraidbug, Wureidbug"
amx,"Anmatyerre, Anmatjirra, Anmatyerr"
amy,"Ami, Ame, Amijangal"
amz,Atampaya
ant,"Antakarinya, Andagarinya"
aoi,"Anindilyakwa, Andiljangwa, Andilyaugwa, Aninhdhilyagwa, Enindhilyagwa, Enindiljaugwa, Groote Eylandt, Ingura, Wanindilyaugwa"
ard,"Arabana, Arabunna"
are,"Arrarnta (Western), Aranda, Arunta"
asf,"Australian Sign Language, Auslan"
asw,Australian Aborigines Sign Language
avm,"Angkamuthi, Anggamudi, Ankamuti, Ngamiti, Nggamadi, Nggammadi, Ngkamadyi’"
awg,"Anguthimri, Angadimi, Angutimi, Ba:tyana, Batjana, Mbatyana, Ngerikudi, Nggerikudi, Nggirikudi, Nigger-Ikudi, Ra:kudi, Wimaranga, Wimarangga, Wimarango, Wimmarango, Yopngadi, Yupangati, Yupnget, Yupungati, Yupun-Gatti, Yuupngati"
awk,"Awabakal, Awabagal"
axe,"Ayerrerenge, Aroinga, Bulamu, Bulanja, Bulanu, Jarionga, Jaroinga, Jurangka, Manda, Pulanja, Yaringa, Yaroinga, Yarroinga, Yarrowin, Yorrawinga, Yorrowinga, Yuruwinga"
axl,"Aranda (Lower Southern), Aldolanga, Aldolinga, Alitera, Aranda, Aranta, Arinta, Arranda, Arrinda, Arrundta, Arrunta, Arunda, Arunndta, Arunta, Arunta Bu, Arunta Ulpma, Eastern Aranda, Lower Aranda, Southern Aranda, Western Aranda"
ayd,Ayabadhu
bcj,"Bardi, Baadi, Baardi, Badi, Bard"
bck,"Bunaba, Bunuba, Punapa, Punuba"
bdy,"Bandjalang, Bandjelang, Bogganger, Bundala, Gidabal, Yugumbe"
bia,"Badimaya, Parti-Maya, Widimaya"
bjb,"Barngarla, Bahanga-La, Bangala, Banggala, Banggarla, Bungeha, Bungela, Kortabina, Pakarla, Pangkala, Pankalla, Parnkala, Parnkalla, Punkalla"
bjy,"Bayali, Biyali, Charumbul, Darambal, Darawal, Darumbal, Ningebal, Orambul, Tarumbal, Tharumbal, Urambal, Warabal"
bpl,"Broome Pearling Lugger Pidgin, Broom Creole, Japanese Pidgin English, Koepang Talk, Malay Talk"
bpt,Barrow Point
bvr,"Burarra, Anbarra, Barera, Bawera, Burada, Bureda, Burera, Gidjingaliya Gujingalia, Gujalabiya, Gun-Guragone, Jikai, Tchikai"
bxi,"Pirlatapa, Biladaba"
bxj,"Bayungu, Baiong, Baiung, Bajungu, Biong, Giong, Mulgarnoo, Pajungu, Payungu"
bxn,"Burduna, Boordoona, Budina, Budoona, Buduna, Pinneegooroo, Poodena, Poordoona, Purduma, Purduna"
bym,"Bidyara, Bidjara, Bithara, Bitjara"
bzr,"Biri, Wirri"
dax,"Dayi, Dha’i, Dhay’yi"
dbl,"Dyirbal, Djirubal"
dda,"Dadi Dadi, Dadidadi, Dardidardi, Dardi-Dardi, Tatitati, Tharrthi-Tharrthi"
ddj,"Jaru, Djaru, Jaroo, Tjaru, Wawari"
dgn,Dagoman
dgt,Ndra’ngith
dgw,"Daungwurrung, Daung Wurrung, Dhagung-wurrung, Taungurong, Taungurung, Thagawurung"
dhg,"Djangu, Budalpudal, Burada, Buralbural, Buratha, Dangu, Dhangu, Dhangu’mi, Warameri, Waramiri, Warramiri, War-ramirri, Warumeri"
dhl,"Dhalandji, Dalandji, Dalendi, Djalendi, Talaindji, Talandi, Talandji, Talangee, Tallainga, Taloinga, Thalantji, Thalanyji"
dhr,"Dhargari, Dal’gari, Targari, Tarkarri, Thargari, Tharrgari, Tharrkari"
dhu,"Dhurga, Dhu’rga, Dhuurga, Durga, Duurga, Tharumba, Thoorga, Thurga"
dhx,"Dhungaloo, Dungaloo"
dif,"Dieri, Diyari"
dit,"Dirari, Dhirari"
dja,"Djadjawurrung, Djadja Wurrung, Djadjawurung, Dyadyawurung, Jaara, Jaja-Wurrung, Jajawurung, Le Wurrung, Lewurru, Lewurrung, Yaara, Yaura"
djb,Djinba
djd,"Djamindjung, Jaminjung"
djf,"Djangun, Adho-Adhom, Butju, Chungki, Chunkumberries, Chunkunburra, Jangun Djanggun, Koko-Mudju, Koko-Tyankun, Mutyu, Ngaigungo"
dji,"Djinang, Jandijinung"
djj,"Djeebbana, Gunavidji"
djn,"Djauan, Adowen, Jawan, Jawony, Jawoyn, Kumertuo"
djr,"Djambarrpuyngu, Djambarbwingu, Jambapuing, Jambapuingo"
djw,Djawi
dmd,"Madhi Madhi, Madhimadhi, Madhi-Madhi, Muthimuthi"
dmw,"Mudburra, Madbara, Moodburra, Mootburra, Mudbara, Mudbera, Mudbra, Mudbura, Mutpura, Pinkagama, Pinkagarna"
drl,"Paakantyi, Baagandji, Darling, Kula, Paakanti, Paakintyi, Southern Baagandji"
dth,"Adithinngithigh, Adetingiti"
duj,"Dhuwal, Dual, Duala, Wulamba"
dyb,"Dyaberdyaber, Jabirr-Jabirr"
dyd,"Dyugun, Jukun"
dyn,"Dyangadi, Boorkutti, Burgadi, Dainggati, Dangadi, Dangati, Danggadi, Danggetti, Djan-Gadi, Ghangatty, Tangetti, Thangatti, Thangatty"
dyy,"Dyaabugay, Bulum-Bulum, Check-Cull, Chewlie, Djabugai, Dyabugay, Hileman, Kikonjunkulu, Kodgotto, Kokonyungalo, Koko-Tjumbundji, Ngarlkajie, Orlow, Tjabakai-Thandji, Tjabogaijanji, Tjankir, Tjankun, Tjapukai, Tjapunkandji, Tjunbundji"
dze,"Djiwarli, Djiwali, Djwarli, Jivali, Jiwali, Tivali, Tjiwali, Tjiwarli"
eaa,"Karenggapa, Garanggaba, Karrengappa, Kurengappa"
ekc,"Karnic (Eastern), Dhiraila, Garandala, Karendala, Ngura"
err,"Erre, Ari, Ere"
fln,"Flinders Island, Yalgawarra"
gbb,"Kaytetye, Gaididj, Kaiditj, Kaititj"
gbd,"Karadjeri, Garadjiri, Garadyari, Gard’are, Guradjara, Karajarri, Karrajarri"
gbu,"Gagadu, Abdedal, Abiddul, Gaagudju, Kakadu, Kakakta, Kakdju, Kakdjuan"
gbw,"Gabi-Gabi, Cabee, Carby, Carby-carbery, Dhapil, Dhipil, Dippil, Dipple, Doon-dooburra, Doondoora, Dowarburra, Dundubara, Dunduura, Gabi, Gabigabi, Kabbi, Kabi, Kabikabi, Kahby, Karabi, Karbi, Maiba"
gcd,"Ganggalida, Ganggalita, Jakula, Jugula, Kangkalita, Yokula, Yugulda, Yukala, Yukulta"
gdc,Gugu Badhun
gdh,"Gadjerawang, Gadjerong, Kajirrawung"
gdj,"Gurdjar, Kurtjjar"
gdt,"Kungardutyi, Gungadidji"
ggd,Gugadj
gge,"Guragone, Gorogone, Gunagoragone, Gungorogone, Gun-Guragone, Gurrgoni, Gurrogone, Gutjertabia"
ggk,"Kungarakany, Gunerakan, Gungaragan, Gungarakanj, Kangarraga, Kungarakan"
gia,"Kitja, Gidja, Kidja, Kija"
